Message ID,Keyword
7.05E+17,Player
7.05E+17,Tuioti
7.05E+17,#GoBlue
7.05E+17,Practice
7.05E+17,@UMichAthletics
7.05E+17,MICHIGAN
7.05E+17,@tigers
7.05E+17,#GoBlue
7.05E+17,team
7.05E+17,#GoBlue
7.05E+17,@UMichAthletics
7.05E+17,Baseball
7.05E+17,golf
7.05E+17,@tigers
7.05E+17,base  
7.05E+17,@tigers
7.05E+17,@CoachJim4UM
7.05E+17,@tigers
7.05E+17,@CoachJim4UM
7.05E+17,@BradAusmus07
7.05E+17,@BradAusmus07
7.05E+17,@CoachJim4UM
7.05E+17,team
7.05E+17,base
7.05E+17,coach
7.05E+17,@tigers
7.05E+17,U-M
7.05E+17,defense
7.05E+17, #GoBlue
7.05E+17, #GoBlue
7.05E+17, #GoBlue
7.05E+17,Jake Butt
7.05E+17,Jake Butt
7.05E+17,practicing
7.05E+17,practice
7.05E+17,practice
7.05E+17, #tbt
7.05E+17,#tang
7.05E+17, #pcmasterrace
7.05E+17,#pcgaming
7.05E+17,#Hospitality
7.05E+17,#job
7.05E+17,#AnnArbor
7.05E+17,#parttime
7.05E+17,#Veterans
7.05E+17, #Hiring
7.05E+17,#happythursday
7.05E+17, #smilemore
7.05E+17,workouts
7.05E+17,dunk
7.05E+17,contest
7.05E+17,basketball 
7.05E+17,game 
7.05E+17,#Hospitality
7.05E+17,#job
7.05E+17, #Veterans
7.05E+17,#Hiring
7.05E+17,#CareerArc
7.05E+17,#hiring
7.05E+17,#job
7.05E+17,#Ypsilanti
7.05E+17,#Sales
7.05E+17,#hiring
7.05E+17,#Ypsilanti
7.05E+17,#Job
7.05E+17,#Jobs
7.05E+17,#CareerArc
7.05E+17,#MarketingLife
7.05E+17,practice
7.05E+17,Ypsilanti
7.03E+17,@UMHealthSystem
7.03E+17,@freep
7.03E+17,#norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17, #Norovirus
7.03E+17,Norovirus
7.03E+17,norovirus
7.03E+17,Michigan
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,vomit
7.03E+17,outbreak
7.05E+17,GoBlue
7.05E+17,Wolverine
7.05E+17,football
7.05E+17,Michigan
7.05E+17,Michigan
7.05E+17,golf
7.05E+17,baseball
7.05E+17,BigTen
7.05E+17,BigTen
7.05E+17,basketball
7.05E+17,baseball
7.05E+17,basketball
7.05E+17,BigTen
7.05E+17,basketball
7.05E+17,Beilein
7.04E+17,basketball
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,sick
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,outbreak
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,outbreak
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,vomit
7.03E+17,outbreak
7.06E+17,#MSU
7.05E+17,#MSU
7.05E+17,#MSU
7.05E+17,#MSU
7.05E+17,@bigten
7.05E+17,Spartans
7.05E+17,Go White
7.05E+17,#MSU
7.05E+17,#Spartans
7.05E+17,#MSU
7.05E+17,#MSU
7.05E+17,#SpartansWill
7.05E+17,#SpartansWil
7.05E+17,basketball
7.05E+17,Red Cedar
7.05E+17,#MSU
7.05E+17,#MSU
7.05E+17, #MSU
7.05E+17,Flint
7.05E+17,lead
7.05E+17,#SpartansWill
7.05E+17,#Spartan
7.05E+17,Cousins
7.05E+17, NFL
7.05E+17, #Spartans 
7.05E+17,Valentine
7.05E+17,Michigan State
7.05E+17, #Spartans 
7.05E+17,Michigan State
7.05E+17,ESPN
7.05E+17, #Spartans 
7.05E+17,Michigan State
7.05E+17, Big Ten
7.05E+17, #Spartans 
7.05E+17,scoring
7.05E+17,Michigan State
7.05E+17,Spartans
7.05E+17,Michigan State
7.05E+17,Dantonio
7.05E+17,Michigan
7.05E+17,practice
7.05E+17,Michigan State
7.05E+17,Big Ten
7.05E+17,#Spartans
7.05E+17,Michigan State
7.05E+17,Cook
7.05E+17,QB
7.05E+17,Michigan State
7.05E+17, Basketball
7.05E+17,Michigan State
7.05E+17,Izzo
7.05E+17, Dantonio
7.05E+17,Michigan State
7.05E+17, Calhoun
7.05E+17, #Spartans 
7.05E+17,Cousins
7.05E+17, #Spartans 
7.05E+17,Michigan State
7.05E+17,Cook
7.05E+17, #Spartans 
7.05E+17,Michigan State
7.05E+17,Big Ten
7.05E+17,Michigan State
7.05E+17, #Spartans 
7.05E+17,Michigan State
7.05E+17, #Spartans 
7.04E+17,Izzo
7.04E+17,Michigan State
7.04E+17,Michigan State
7.04E+17, Dantonio
7.04E+17,practice
7.04E+17, #Spartans 
7.04E+17,Michigan State
7.04E+17,QB
7.04E+17,O'Connor
7.04E+17,Cook
7.06E+17,stadium
7.06E+17,hiring
7.06E+17,job
7.06E+17,dawgs
7.06E+17,ATL
7.06E+17,job
7.06E+17,sales
7.06E+17,hiring
7.06E+17,GA
7.06E+17,GA
7.06E+17,GA
7.06E+17,Athens
7.06E+17,GA
7.06E+17,Athens
7.06E+17,GA
7.06E+17,job
7.06E+17,GA
7.06E+17,Athens
7.06E+17,Athens
7.06E+17,GA
7.06E+17,Athens
7.06E+17,GA
