Provenances,created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user__id,user__id_str,user__name,user__screen_name,user__location,user__description,user__url,user__entities__url__urls__url,user__entities__url__urls__expanded_url,user__entities__url__urls__display_url,user__entities__url__urls__indices__001,user__entities__url__urls__indices__002,user__protected,user__followers_count,user__friends_count,user__listed_count,user__created_at,user__favourites_count,user__utc_offset,user__time_zone,user__geo_enabled,user__verified,user__statuses_count,user__lang,user__contributors_enabled,user__is_translator,user__is_translation_enabled,user__profile_background_color,user__profile_background_image_url,user__profile_background_image_url_https,user__profile_background_tile,user__profile_image_url,user__profile_image_url_https,user__profile_banner_url,user__profile_link_color,user__profile_sidebar_border_color,user__profile_sidebar_fill_color,user__profile_text_color,user__profile_use_background_image,user__has_extended_profile,user__default_profile,user__default_profile_image,user__following,user__follow_request_sent,user__notifications,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,entities__user_mentions__screen_name,entities__user_mentions__name,entities__user_mentions__id,entities__user_mentions__id_str,entities__user_mentions__indices__001,entities__user_mentions__indices__002,entities__hashtags__text,entities__hashtags__indices__001,entities__hashtags__indices__002,entities__urls__url,entities__urls__expanded_url,entities__urls__display_url,entities__urls__indices__001,entities__urls__indices__002,entities__media__id,entities__media__id_str,entities__media__indices__001,entities__media__indices__002,entities__media__media_url,entities__media__media_url_https,entities__media__url,entities__media__display_url,entities__media__expanded_url,entities__media__type,entities__media__sizes__|,entities__media__sizes__|__w,entities__media__sizes__|__h,entities__media__sizes__|__resize,extended_entities__media__id,extended_entities__media__id_str,extended_entities__media__indices__001,extended_entities__media__indices__002,extended_entities__media__media_url,extended_entities__media__media_url_https,extended_entities__media__url,extended_entities__media__display_url,extended_entities__media__expanded_url,extended_entities__media__type,extended_entities__media__sizes__|,extended_entities__media__sizes__|__w,extended_entities__media__sizes__|__h,extended_entities__media__sizes__|__resize,favorited,retweeted,possibly_sensitive,lang
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 18:05:27 +0000 2016,7.05E+17,7.05E+17,Personal #Statement: What We Talk about When No One is Listening. https://t.co/89o41JKvo5 https://t.co/yfEAsCQwp3,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,2,,,,,,,Statement,9,19,https://t.co/89o41JKvo5,http://ow.ly/Z1PXZ,ow.ly/Z1PXZ,66,89,7.05E+17,7.05E+17,90,113,http://pbs.twimg.com/media/CcpGuNkW8AAlhYw.jpg,https://pbs.twimg.com/media/CcpGuNkW8AAlhYw.jpg,https://t.co/yfEAsCQwp3,pic.twitter.com/yfEAsCQwp3,http://twitter.com/michigandaily/status/705454052524630017/photo/1,photo,small,340,263,fit,7.05E+17,7.05E+17,90,113,http://pbs.twimg.com/media/CcpGuNkW8AAlhYw.jpg,https://pbs.twimg.com/media/CcpGuNkW8AAlhYw.jpg,https://t.co/yfEAsCQwp3,pic.twitter.com/yfEAsCQwp3,http://twitter.com/michigandaily/status/705454052524630017/photo/1,photo,small,340,263,fit,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,720,556,fit,,,,,,,,,,,large,720,556,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,thumb,150,150,crop,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,600,463,fit,,,,,,,,,,,medium,600,463,fit,,,,
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 16:55:17 +0000 2016,7.05E+17,7.05E+17,.@JohnKasich misses @UMich campaign stop due to delayed flight.  https://t.co/j1Tbayzxae,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,1,0,JohnKasich,John Kasich,18020081,18020081,1,12,,,,https://t.co/j1Tbayzxae,http://ow.ly/Z1MFn,ow.ly/Z1MFn,65,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMich,UniversityofMichigan,88836132,88836132,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 15:07:50 +0000 2016,7.05E+17,7.05E+17,The women of @umichgolf improved to seventh at Hurricane Invitational. https://t.co/yC2pV1qQ4P,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,1,umichgolf,Michigan Golf,27903435,27903435,13,23,,,,https://t.co/yC2pV1qQ4P,http://ow.ly/Z1G0s,ow.ly/Z1G0s,71,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 04:10:49 +0000 2016,7.05E+17,7.05E+17,"After delayed flight from New York to Michigan, @JohnKasich holds @UMich campaign stop via phone. https://t.co/bGBjkmLkFK",FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,3,JohnKasich,John Kasich,18020081,18020081,48,59,,,,https://t.co/bGBjkmLkFK,http://ow.ly/Z0vtC,ow.ly/Z0vtC,98,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMich,UniversityofMichigan,88836132,88836132,66,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 03:35:09 +0000 2016,7.05E+17,7.05E+17,The top 5 best and worst things that happened at the 88th #Oscars. https://t.co/94F1jRLFts https://t.co/zmPY2NOKt6,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,3,,,,,,,Oscars,58,65,https://t.co/94F1jRLFts,http://ow.ly/YZbh3,ow.ly/YZbh3,67,90,7.05E+17,7.05E+17,91,114,http://pbs.twimg.com/media/Ccl_htUUEAEHMPg.jpg,https://pbs.twimg.com/media/Ccl_htUUEAEHMPg.jpg,https://t.co/zmPY2NOKt6,pic.twitter.com/zmPY2NOKt6,http://twitter.com/michigandaily/status/705235034177978368/photo/1,photo,large,720,376,fit,7.05E+17,7.05E+17,91,114,http://pbs.twimg.com/media/Ccl_htUUEAEHMPg.jpg,https://pbs.twimg.com/media/Ccl_htUUEAEHMPg.jpg,https://t.co/zmPY2NOKt6,pic.twitter.com/zmPY2NOKt6,http://twitter.com/michigandaily/status/705235034177978368/photo/1,photo,large,720,376,fit,FALSE,FALSE,FALSE,en
