Provenances,Person ID,Persona ID,Platform ID,Message ID,Time of Message,Location,Message String
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Thu Mar 03 15:53:09 +0000 2016,"Ann Arbor, Michigan",.@BigPappi73 ?????? https://t.co/bXwrcpYa80
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Thu Mar 03 14:30:38 +0000 2016,"Ann Arbor, Michigan","Welcome Tony Tuioti, our new Director of Player Personnel! https://t.co/e6bHb6VjRH https://t.co/bHQPwAHev8"
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Thu Mar 03 14:01:45 +0000 2016,"Ann Arbor, Michigan",Practice day 3: ready to go! #GoBlue https://t.co/I0PH75KfoF
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Thu Mar 03 13:14:38 +0000 2016,"Ann Arbor, Michigan",RT @UMichAthletics: The M-PACT (Professional And Career Transition) Program is unique to MICHIGAN.   LEARN » https://t.co/W6169NHeXv https:…
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,,,Twitter,,,,
Twitter Recent Michigan Football Tweets,Michigan Football,umichfootball,Twitter,7.05E+17,Thu Mar 03 01:38:50 +0000 2016,"Ann Arbor, Michigan",Check out this 360 video of the team entering the field before the @Pirates vs. @tigers game today! #GoBlue  VID » https://t.co/bj4WkaUqxV
