message_id,message_keyword
7.03E+17,norovirus
7.03E+17,Michigan
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,vomit
7.03E+17,outbreak
7.05E+17,
7.05E+17,
7.05E+17,GoBlue
7.05E+17,Wolverine
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,football
7.05E+17,
7.05E+17,Michigan
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,
7.05E+17,Michigan
7.05E+17,
7.05E+17,
7.05E+17,golf
7.05E+17,
7.05E+17,
7.05E+17,baseball
7.05E+17,BigTen
7.00E+17,
7.05E+17,BigTen
7.05E+17,basketball
7.05E+17,baseball
7.05E+17,
7.05E+17,basketball
7.05E+17,BigTen
7.05E+17,basketball
7.05E+17,Beilein
7.05E+17,
7.04E+17,basketball
7.04E+17,
7.03E+17,
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,sick
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,outbreak
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,outbreak
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,norovirus
7.03E+17,vomit
7.03E+17,outbreak
